Model,Accuracy,Precision,Recall,F1 Score,Best Train Accuracy,Best Validation Accuracy,Training Time Seconds,Trainable Parameters
CNN From Scratch,0.695,0.699,0.695,0.6735,N/A,N/A,N/A,N/A
ResNet50 Transfer,0.9431,0.948,0.9431,0.9414,N/A,N/A,N/A,N/A
